Name Hesh Ammo
ShortName HeshTest
Model monolith.SuperCannonBall
Texture SkinNavalMine
//Colour of icon and model
Colour 255 255 255
ItemID 7070
Icon Blank
//How affected by gravity the bullet is
FallSpeed 0
//The maximum stack size
MaxStackSize 1
//The number of rounds each item has. Limited to 32000.
RoundsPerItem 100
//The damage multiplier caused by the bullet on hitting an entity
DamageVsLiving 12
DamageVsVehicles 5
//Size of explosion caused
Explosion 0
//True if bullet explodes on hitting anything. Fuse denotes the maximum time it may spend in the air before detonating
ExplodeOnImpact False
Fuse 40
FlakParticles 0
//Amount of fire to spread on exploding; for each increment, it will increase the dimensions of the burning area by 2. i.e. 1 will burn a 3x3 square, 2 will burn a 5x5 square
Fire 0
BreaksGlass True
//Size of box to check for entities to hit / detonate
HitBoxSize 0.5
//Whether or not the bullet can travel through an entity having hit it
Penetrates True
SmokeTrail False

HitSound sword_hit_heavy
HitSoundRange 15
HitSoundEnable true
EntityHitSoundEnable true
bodyArmorPen 300

SubmunitionDelay 35
//Hesh true
shrapnelAngel true
angelSpeed 1
SubmunitionSpread 80
HasSubmunitions true
Submunition Ghost

bleedMultiplier 20
